Phylum,Classe,Ordine,Famiglia,Sottofamiglia,Genere,Autore e anno genere,Sottogenere,Autore e anno sottogenere,Specie,Autore e anno specie,Sottospecie,Autore e anno sottospecie,Fauna Europaea (nome),WORMS (AphiaID),End,Alien,N,S,Si,Sa,1,2,3,4,5,6,7,8,9,Ao,Pi,Lo,VT,V,FVG,Li,ER,To,Ma,Um,La,Abr,Mo,Cp,Pu,Bas,Cal,RSM,CV,CT,Cor,M,Categorie Uccelli,Corotipo,Note tassonomiche / Taxonomic notes,Note distribuzione / Distribution notes
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",atrata,"W. L. E. Schmidt, 1846",,,Oedemera (Oedemera) atrata,,,,y,y,y,,,,,,,,,,,,y,y,,,,y,y,y,y,y,y,y,y,y,y,y,y,,,,y,,,3.01?,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",barbara,"(Fabricius, 1792)",,,Oedemera (Oedemera) barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",crassipes,"Ganglbauer, 1881",,,Oedemera (Oedemera) crassipes,,,,y,y,y,y,,,,,,,,,,,,,,,,y,y,y,y,,y,y,y,y,y,y,y,,,,y,y,,3.01,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",croceicollis,"Gyllenhal, 1827",,,Oedemera (Oedemera) croceicollis,,,,y,y,,,,,,,,,,,,,,y,,y,y,,y,y,,,y,,,y,,y,,,,Y,y,,,1.05,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",femorata,"(Scopoli, 1763)",,,Oedemera (Oedemera) femorata,,,,y,y,y,,,,,,,,,,,,y,y,y,y,y,,y,y,,,y,y,,y,y,y,y,,,y,,,,1.05,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",flavipes,"Fabricius, 1792",,,Oedemera (Oedemera) flavipes ,,,,y,y,y,y,,,,,,,,,,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,?,,1.10,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",lateralis,"Gebler, 1829",,,Oedemera (Oedemera) lateralis,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,1.07,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",lurida,"Marsham, 1802",lurida,"Marsham, 1802",Oedemera (Oedemera) lurida subsp. lurida,,,,y,y,y,y,,,,,,,,,,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,,,1.04?,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",melanopyga,"W. L. E. Schmidt, 1846",,,Oedemera (Oedemera) melanopyga,,e,,y,y,,,,,,,,,,,,,,,,,,,y,y,,y,y,y,,y,y,y,y,,,,,,,2.04,,"New for N (http://www.entomologiitaliani.net/public/forum/phpBB3/viewtopic.php?f=180&t=2054&hilit=melanopyga last accessed january 20, 2020)"
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",monticola,"Švihla, 1978",,,Oedemera (Oedemera) monticola,,,,y,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,2.03,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",nobilis,"(Scopoli, 1763)",,,Oedemera (Oedemera) nobilis,,,,y,y,y,y,,,,,,,,,,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,,,1.12?,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",podagrariae,"(Linnaeus, 1767)",podagrariae,"(Linnaeus, 1767)",Oedemera (Oedemera) podagrariae,,,,y,y,y,?,,,,,,,,,,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,,,1.07,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",pthysica,"(Scopoli, 1763)",,,Oedemera (Oedemera) pthysica,,,,y,y,y,,,,,,,,,,,,y,y,y,y,y,,,,y,,y,y,,,y,y,y,,,y,,,,1.10,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",simplex,"(Linnaeus, 1767)",,,Oedemera (Oedemera) simplex,,,,y,y,y,y,,,,,,,,,,y,y,,,,,y,,y,,,y,y,y,y,y,y,y,,,,,y,,3.02,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",tristis,"W. L. E. Schmidt, 1846",,,Oedemera (Oedemera) tristis,,,,y,y,,,,,,,,,,,,,y,y,y,y,y,y,y,,,,,y,,,,,,,,y,,,,2.03,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Oedemera,"A. G. Olivier, 1789",Oedemera,"A. G. Olivier, 1789",virescens,"(Linnaeus, 1767)",virescens,"(Linnaeus, 1767)",Oedemera (Oedemera) virescens,,,,y,y,?,y,,,,,,,,,,y,y,y,y,y,y,y,y,y,,y,y,y,,,,,,,,Y,y,,,1.05,,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Stenostoma,"Latreille, 1810",,,cossyrense,"Bologna, 1995",,,Stenostoma cossyrense,,e,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,In the previous version of the checklist this species was listed as Stenostoma sp. because the species it was under description,
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Stenostoma,"Latreille, 1810",,,melitense,"Cameron, 1907",,,Stenostoma melitense,,e,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,3.04,,"A specimen in the Natural History Museum of Verona is labelled ""Punta Braccetto"", in the Sicilian mainlans, this record should be confirmed"
Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemerinae,Stenostoma,"Latreille, 1810",,,rostratum,"(Fabricius, 1787)",septentrionale,"Švihla, 2005",Stenostoma rostratum subsp. rostratum,,,,,y,y,y,,,,,,,,,,,,,,,,,,y,,,y,,,y,y,y,y,,,,y,,,3.01,"Stenostoma rostratum schatzmayri Magistretti, 1941 is a synonym of S. rostratum rostratum (Fabricius, 1787) according to Švihla (2008. In: Lobl & Smetana. Catalogue of Palaearctic Coleoptera, vol. 5. Apollo Books, Stenstrup, 353-359)",
,,,,,,,,,,,,,Stenostoma rostratum subsp. schatzmayri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
